"No.","Time","Source","Destination","Protocol","Length","Info","Source port","Destination port"
"1468","19.998214","192.168.100.103","192.168.100.101","TCP","60","44277  >  1102 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","1102"
"1469","19.999977","106.84.38.138","1.151.133.244","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"1470","20.001606","192.168.100.103","192.168.100.101","TCP","60","44277  >  5214 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","5214"
"1471","20.001615","192.168.100.103","192.168.100.101","TCP","60","44277  >  30000 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","30000"
"1472","20.001799","192.168.100.103","192.168.100.101","TCP","60","44277  >  50500 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","50500"
"1473","20.001962","192.168.100.103","192.168.100.101","TCP","60","44277  >  146 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","146"
"1474","20.001967","192.168.100.103","192.168.100.101","TCP","60","44277  >  6100 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","6100"
"1475","20.002139","192.168.100.103","192.168.100.101","TCP","60","44277  >  7627 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","7627"
"1476","20.002235","192.168.100.103","192.168.100.101","TCP","60","44277  >  541 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","541"
"1477","20.002419","192.168.100.103","192.168.100.101","TCP","60","44277  >  458 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","458"
"1478","20.002426","192.168.100.103","192.168.100.101","TCP","60","44277  >  8087 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","8087"
"1479","20.002628","192.168.100.103","192.168.100.101","TCP","60","44277  >  9943 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","9943"
"1480","20.002765","192.168.100.103","192.168.100.101","TCP","60","44277  >  8194 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","8194"
"1481","20.002770","192.168.100.103","192.168.100.101","TCP","60","44277  >  99 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","99"
"1482","20.002971","192.168.100.103","192.168.100.101","TCP","60","44277  >  30 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","30"
"1483","20.002978","192.168.100.103","192.168.100.101","TCP","60","44277  >  55600 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","55600"
"1484","20.003195","192.168.100.103","192.168.100.101","TCP","60","44277  >  16993 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","16993"
"1485","20.005977","192.168.100.103","192.168.100.101","TCP","60","44277  >  1718 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","1718"
"1486","20.005981","192.168.100.103","192.168.100.101","TCP","60","44277  >  2718 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","2718"
"1487","20.006602","192.168.100.103","192.168.100.101","TCP","60","44277  >  1149 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","1149"
"1488","20.006607","192.168.100.103","192.168.100.101","TCP","60","44277  >  8652 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","8652"
"1489","20.006612","192.168.100.103","192.168.100.101","TCP","60","44277  >  514 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","514"
"1490","20.006617","192.168.100.103","192.168.100.101","TCP","60","44277  >  1050 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","1050"
"1491","20.006622","192.168.100.103","192.168.100.101","TCP","60","44277  >  83 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","83"
"1492","20.006627","192.168.100.103","192.168.100.101","TCP","60","44277  >  3404 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","3404"
"1493","20.007226","192.168.100.103","192.168.100.101","TCP","60","44277  >  1148 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","1148"
